,NODE_ID,Width,distance downstream,Best Mannings N
0,18.5,4.6227,-0.1999999999999993,0.074
1,18.4,8.5338,-0.09999999999999787,0.06877777777777777
2,18.3,5.3896,0.0,0.06355555555555556
3,18.2,8.3103,0.10000000000000142,0.058333333333333334
4,18.1,14.6531,0.1999999999999993,0.05311111111111111
5,18.0,4.3728,0.3000000000000007,0.047888888888888884
6,17.9,7.0833,0.40000000000000213,0.042666666666666665
7,17.8,8.7182,0.5,0.03744444444444445
8,17.7,9.0715,0.6000000000000014,0.03222222222222222
9,17.6,5.0322,0.6999999999999993,0.027
10,17.5,8.45,0.8000000000000007,0.03564285714285714
11,17.4,5.9299,0.9000000000000021,0.04428571428571429
12,17.3,3.4896,1.0,0.05292857142857143
13,17.2,6.3137,1.1000000000000014,0.06157142857142857
14,17.1,8.2882,1.1999999999999993,0.07021428571428572
15,17.0,7.815,1.3000000000000007,0.07885714285714286
16,16.9,10.1773,1.4000000000000021,0.0875
17,16.8,9.4321,1.5,0.09614285714285714
18,16.7,4.7929,1.6000000000000014,0.10478571428571429
19,16.6,7.1501,1.6999999999999993,0.11342857142857143
20,16.5,11.7779,1.8000000000000007,0.12207142857142857
21,16.4,7.7725,1.9000000000000021,0.13071428571428573
22,16.3,5.5022,2.0,0.13935714285714287
23,16.2,8.9591,2.1000000000000014,0.148
24,16.1,8.8365,2.1999999999999993,0.148
25,16.0,15.3621,2.3000000000000007,0.148
26,15.9,9.2392,2.4000000000000004,0.148
27,15.8,6.5236,2.5,0.148
28,15.7,10.7005,2.6000000000000014,0.148
29,15.6,7.5183,2.700000000000001,0.148
30,15.5,14.8557,2.8000000000000007,0.148
31,15.4,14.975,2.9000000000000004,0.148
32,15.3,19.684,3.0,0.148
33,15.2,14.5762,3.1000000000000014,0.148
34,15.1,16.5897,3.200000000000001,0.148
35,15.0,11.9037,3.3000000000000007,0.14033333333333334
36,14.9,11.7162,3.4000000000000004,0.13266666666666665
37,14.8,13.0358,3.5,0.125
38,14.7,8.4374,3.6000000000000014,0.11733333333333333
39,14.6,12.7414,3.700000000000001,0.10966666666666666
40,14.5,13.6405,3.8000000000000007,0.102
41,14.4,9.5499,3.9000000000000004,0.09433333333333332
42,14.3,10.576,4.0,0.08666666666666667
43,14.2,11.632,4.100000000000001,0.079
44,14.1,21.6239,4.200000000000001,0.07133333333333333
45,14.0,20.3098,4.300000000000001,0.06366666666666666
46,13.9,10.107,4.4,0.056
47,13.8,10.8217,4.5,0.059625000000000004
48,13.7,6.6318,4.600000000000001,0.06325
49,13.6,6.8224,4.700000000000001,0.066875
50,13.5,7.2758,4.800000000000001,0.07050000000000001
51,13.4,9.6443,4.9,0.074125
52,13.3,10.7269,5.0,0.07775
53,13.2,10.1407,5.100000000000001,0.081375
54,13.1,4.78,5.200000000000001,0.085
55,13.0,18.8993,5.300000000000001,0.08862500000000001
56,12.9,15.6288,5.4,0.09225
57,12.8,14.6855,5.5,0.095875
58,12.7,16.4328,5.600000000000001,0.0995
59,12.6,10.2637,5.700000000000001,0.103125
60,12.5,9.5563,5.800000000000001,0.10675000000000001
61,12.4,7.8745,5.9,0.110375
62,12.3,12.6507,6.0,0.114
63,12.2,14.4923,6.100000000000001,0.1208
64,12.1,10.2384,6.200000000000001,0.1276
65,12.0,12.5007,6.300000000000001,0.1344
66,11.9,13.773,6.4,0.1412
67,11.8,14.7157,6.5,0.148
68,11.7,6.6501,6.600000000000001,0.13677777777777778
69,11.6,7.0863,6.700000000000001,0.12555555555555556
70,11.5,9.8773,6.800000000000001,0.11433333333333333
71,11.4,18.174,6.9,0.1031111111111111
72,11.3,15.1726,7.0,0.09188888888888888
73,11.2,6.6495,7.100000000000001,0.08066666666666666
74,11.1,6.0142,7.200000000000001,0.06944444444444443
75,11.0,11.9906,7.300000000000001,0.05822222222222222
76,10.9,10.3711,7.4,0.047
77,10.8,19.5332,7.5,0.0465
78,10.7,16.5764,7.600000000000001,0.046
79,10.6,22.0701,7.700000000000001,0.0455
80,10.5,17.7055,7.800000000000001,0.045
81,10.4,16.6362,7.9,0.0445
82,10.3,8.4446,8.0,0.044
83,10.2,5.6079,8.100000000000001,0.0435
84,10.1,11.3685,8.200000000000001,0.043
85,10.0,9.43,8.3,0.042499999999999996
86,9.9,13.8269,8.4,0.042
87,9.8,13.6412,8.5,0.0415
88,9.7,14.4523,8.600000000000001,0.041
89,9.6,6.0522,8.700000000000001,0.0405
90,9.5,14.7676,8.8,0.04
91,9.4,17.8588,8.9,0.0395
92,9.3,17.6675,9.0,0.039
93,9.2,16.9769,9.100000000000001,0.0385
94,9.1,7.2587,9.200000000000001,0.038
95,9.0,7.6237,9.3,0.03425
96,8.9,8.5229,9.4,0.0305
97,8.8,6.7877,9.5,0.02675
98,8.7,7.3457,9.600000000000001,0.023
99,8.6,5.9482,9.700000000000001,0.028333333333333332
100,8.5,6.2248,9.8,0.033666666666666664
101,8.4,11.9538,9.9,0.03899999999999999
102,8.3,10.7718,10.0,0.04433333333333333
103,8.2,10.8936,10.100000000000001,0.049666666666666665
104,8.1,16.7986,10.200000000000001,0.05499999999999999
105,8.0,18.3886,10.3,0.06033333333333333
106,7.9,12.062,10.4,0.06566666666666665
107,7.8,16.3322,10.5,0.07099999999999998
108,7.7,12.7156,10.600000000000001,0.07633333333333332
109,7.6,25.9832,10.700000000000001,0.08166666666666667
110,7.5,9.4491,10.8,0.087
111,7.4,8.1053,10.9,0.09233333333333332
112,7.3,10.355,11.0,0.09766666666666665
113,7.2,7.4438,11.100000000000001,0.103
114,7.1,9.6761,11.200000000000001,0.10373333333333333
115,7.0,9.051,11.3,0.10446666666666667
116,6.9,10.7275,11.4,0.1052
117,6.8,11.9992,11.5,0.10593333333333332
118,6.7,16.1185,11.600000000000001,0.10666666666666666
119,6.6,16.3446,11.700000000000001,0.1074
120,6.5,4.9821,11.8,0.10813333333333333
121,6.4,10.3756,11.9,0.10886666666666667
122,6.3,11.0889,12.0,0.1096
123,6.2,11.7074,12.100000000000001,0.11033333333333334
124,6.1,26.2047,12.200000000000001,0.11106666666666667
125,6.0,24.715,12.3,0.1118
126,5.9,18.6861,12.4,0.11253333333333333
127,5.8,21.746,12.5,0.11326666666666667
128,5.7,11.6349,12.600000000000001,0.114
129,5.6,7.4714,12.700000000000001,0.11371428571428571
130,5.5,9.9503,12.8,0.11342857142857143
131,5.4,10.6545,12.9,0.11314285714285714
132,5.3,12.469,13.0,0.11285714285714286
133,5.2,14.9665,13.100000000000001,0.11257142857142857
134,5.1,19.5931,13.200000000000001,0.1122857142857143
135,5.0,15.9027,13.3,0.112
136,4.9,18.1668,13.4,0.11171428571428571
137,4.8,17.9017,13.5,0.11142857142857143
138,4.7,9.2763,13.600000000000001,0.11114285714285714
139,4.6,10.0584,13.700000000000001,0.11085714285714286
140,4.5,12.6576,13.8,0.11057142857142857
141,4.4,17.3013,13.9,0.11028571428571429
142,4.3,12.1543,14.0,0.11
143,4.2,8.2779,14.100000000000001,0.104375
144,4.1,12.4062,14.200000000000001,0.09875
145,4.0,7.8968,14.3,0.093125
146,3.9,9.7061,14.4,0.0875
147,3.8,14.933,14.5,0.081875
148,3.7,15.4382,14.600000000000001,0.07625
149,3.6,12.3704,14.700000000000001,0.070625
150,3.5,14.3589,14.8,0.065
151,3.4,11.9546,14.9,0.059375000000000004
152,3.3,9.8965,15.0,0.053750000000000006
153,3.2,18.8945,15.100000000000001,0.048125
154,3.1,8.9121,15.200000000000001,0.042499999999999996
155,3.0,9.5333,15.3,0.036875000000000005
156,2.9,14.441,15.4,0.03125
157,2.8,12.8222,15.5,0.02562500000000001
158,2.7,8.3211,15.600000000000001,0.02
159,2.6,8.6843,15.700000000000001,0.02
160,2.5,21.4856,15.8,0.02
161,2.4,17.0422,15.9,0.02
162,2.3,13.5823,16.0,0.02
163,2.2,16.8802,16.1,0.02
164,2.1,14.7421,16.2,0.02
165,2.0,13.6907,16.3,0.02
166,1.9,17.2484,16.400000000000002,0.02
167,1.8,14.9856,16.5,0.02
