NODE_ID,STREAM_KM,CHANWIDTH
1851,18.51,8.222574746
1850,18.5,4.622692402
1849,18.49,5.864788351
1848,18.48,8.156039766
1847,18.47,9.855347435
1846,18.46,10.40430893
1845,18.45,13.69912517
1844,18.44,13.36937411
1843,18.43,12.79879351
1842,18.42,12.85236721
1841,18.41,10.07724737
1840,18.4,8.533760604
1839,18.39,9.001202641
1838,18.38,9.468783137
1837,18.37,10.54207193
1836,18.36,10.74168576
1835,18.35,11.94853774
1834,18.34,10.24799645
1833,18.33,7.322285123
1832,18.32,8.270549541
1831,18.31,7.226356452
1830,18.3,5.389598548
1829,18.29,4.84856802
1828,18.28,3.67766159
1827,18.27,4.755542716
1826,18.26,6.378849377
1825,18.25,4.785346124
1824,18.24,6.073667593
1823,18.23,7.059515204
1822,18.22,6.818029596
1821,18.21,5.337462125
1820,18.2,8.310317446
1819,18.19,9.160957799
1818,18.18,10.46579403
1817,18.17,12.08079562
1816,18.16,13.49738201
1815,18.15,11.77092219
1814,18.14,9.957280515
1813,18.13,8.582750922
1812,18.12,11.50062602
1811,18.11,9.488081005
1810,18.1,7.871884663
1809,18.09,8.700666823
1808,18.08,8.259283078
1807,18.07,9.074425512
1806,18.06,7.525795602
1805,18.05,7.372686144
1804,18.04,4.952491693
1803,18.03,4.743404944
1802,18.02,4.538970897
1801,18.01,4.406782948
1800,18,4.372751135
1799,17.99,4.422013354
1798,17.98,3.713881612
1797,17.97,3.967960084
1796,17.96,5.513200621
1795,17.95,5.442048759
1794,17.94,3.186571172
1793,17.93,3.173208605
1792,17.92,3.89808073
1791,17.91,5.569996244
1790,17.9,6.784872603
1789,17.89,6.326724519
1788,17.88,5.929674621
1787,17.87,6.717948269
1786,17.86,6.581568611
1785,17.85,6.640431726
1784,17.84,4.740265474
1783,17.83,6.328202433
1782,17.82,5.692039612
1781,17.81,6.191851671
1780,17.8,8.71819897
1779,17.79,10.16190785
1778,17.78,8.70277143
1777,17.77,9.520261438
1776,17.76,7.979779205
1775,17.75,7.901990623
1774,17.74,8.493089893
1773,17.73,8.702771263
1772,17.72,8.801425399
1771,17.71,9.040121127
1770,17.7,9.071462885
1769,17.69,9.375308915
1768,17.68,7.211753533
1767,17.67,5.222031402
1766,17.66,4.91535908
1765,17.65,5.001836492
1764,17.64,5.13179394
1763,17.63,4.58506077
1762,17.62,4.088176426
1761,17.61,4.762854742
1760,17.6,5.032187301
1759,17.59,5.318277797
1758,17.58,6.070946251
1757,17.57,6.516549117
1756,17.56,7.678096977
1755,17.55,8.545190084
1754,17.54,9.439191723
1753,17.53,10.39514356
1752,17.52,11.63753492
1751,17.51,11.01702631
1750,17.5,8.449964815
1749,17.49,8.590898351
1748,17.48,6.402721331
1747,17.47,4.862250282
1746,17.46,3.435465132
1745,17.45,6.103223782
1744,17.44,7.480337397
1743,17.43,7.627038148
1742,17.42,5.220689986
1741,17.41,6.392916511
1740,17.4,5.929937958
1739,17.39,7.048355406
1738,17.38,8.606720095
1737,17.37,5.94727061
1736,17.36,4.484947629
1735,17.35,5.78900265
1734,17.34,6.2459169
1733,17.33,7.180663968
1732,17.32,8.341410094
1731,17.31,6.374994336
1730,17.3,3.489613112
1729,17.29,6.160103871
1728,17.28,5.649026538
1727,17.27,4.171786146
1726,17.26,5.942738221
1725,17.25,8.317445611
1724,17.24,6.992283508
1723,17.23,5.000254154
1722,17.22,4.043889328
1721,17.21,3.788500472
1720,17.2,6.313660921
1719,17.19,8.306657485
1718,17.18,9.616145294
1717,17.17,9.078129187
1716,17.16,7.143760304
1715,17.15,6.539848076
1714,17.14,7.651906903
1713,17.13,5.88016041
1712,17.12,6.027943005
1711,17.11,6.364571327
1710,17.1,8.288192232
1709,17.09,5.795627417
1708,17.08,4.955469357
1707,17.07,7.801341619
1706,17.06,6.838109511
1705,17.05,7.377063202
1704,17.04,7.968811821
1703,17.03,8.786064592
1702,17.02,9.016138653
1701,17.01,7.54423969
1700,17,7.815002025
1699,16.99,6.729012374
1698,16.98,7.934827703
1697,16.97,9.93706346
1696,16.96,9.57885154
1695,16.95,8.969681053
1694,16.94,8.870727313
1693,16.93,9.490388773
1692,16.92,9.418475353
1691,16.91,11.09396403
1690,16.9,10.17731632
1689,16.89,8.418919634
1688,16.88,7.798532956
1687,16.87,10.1000725
1686,16.86,12.37498397
1685,16.85,9.973092304
1684,16.84,8.04176535
1683,16.83,7.690917013
1682,16.82,10.65023278
1681,16.81,9.142061582
1680,16.8,9.432117931
1679,16.79,8.227192036
1678,16.78,11.8667363
1677,16.77,9.707610591
1676,16.76,8.64547428
1675,16.75,9.320712427
1674,16.74,5.985341992
1673,16.73,7.402887243
1672,16.72,4.802656947
1671,16.71,3.84466945
1670,16.7,4.792867725
1669,16.69,5.041681237
1668,16.68,4.82967399
1667,16.67,7.413311343
1666,16.66,7.872171751
1665,16.65,7.730899775
1664,16.64,9.153484785
1663,16.63,8.512115885
1662,16.62,5.248803693
1661,16.61,7.312505999
1660,16.6,7.150098508
1659,16.59,6.209313226
1658,16.58,7.885347029
1657,16.57,12.61299989
1656,16.56,10.29360186
1655,16.55,11.76442569
1654,16.54,12.35577711
1653,16.53,14.52555725
1652,16.52,13.93998444
1651,16.51,13.38680456
1650,16.5,11.7778819
1649,16.49,9.679203754
1648,16.48,8.264839171
1647,16.47,6.883432571
1646,16.46,5.210920796
1645,16.45,4.737545718
1644,16.44,7.037028062
1643,16.43,7.269008646
1642,16.42,8.103160396
1641,16.41,7.585439718
1640,16.4,7.772499179
1639,16.39,5.507199093
1638,16.38,4.192117047
1637,16.37,5.468401079
1636,16.36,6.365785002
1635,16.35,7.071309461
1634,16.34,3.890088448
1633,16.33,3.70345125
1632,16.32,6.073636724
1631,16.31,5.076120831
1630,16.3,5.502179943
1629,16.29,9.860380518
1628,16.28,5.678428322
1627,16.27,9.184756818
1626,16.26,9.565031202
1625,16.25,9.758577001
1624,16.24,6.541381973
1623,16.23,7.451014542
1622,16.22,9.882660878
1621,16.21,9.200254012
1620,16.2,8.959052168
1619,16.19,8.3787577
1618,16.18,6.883199087
1617,16.17,7.847896098
1616,16.16,6.421609328
1615,16.15,5.390907661
1614,16.14,6.982693257
1613,16.13,8.344550347
1612,16.12,7.658173029
1611,16.11,8.547773869
1610,16.1,8.836548491
1609,16.09,11.35694649
1608,16.08,16.12145426
1607,16.07,16.80424225
1606,16.06,16.87864144
1605,16.05,11.89692971
1604,16.04,11.21871254
1603,16.03,12.34962618
1602,16.02,17.92607974
1601,16.01,17.93105403
1600,16,15.36211315
1599,15.99,8.162680834
1598,15.98,7.817927851
1597,15.97,8.404590376
1596,15.96,13.34740614
1595,15.95,13.08481833
1594,15.94,9.932303762
1593,15.93,4.259266179
1592,15.92,4.30376551
1591,15.91,7.449625996
1590,15.9,9.23923197
1589,15.89,9.349918572
1588,15.88,9.823055847
1587,15.87,11.64209445
1586,15.86,9.046402887
1585,15.85,6.547719611
1584,15.84,5.218863652
1583,15.83,4.078839195
1582,15.82,4.028364697
1581,15.81,3.852318331
1580,15.8,6.523584599
1579,15.79,7.831405176
1578,15.78,9.131214578
1577,15.77,9.919586014
1576,15.76,13.04187852
1575,15.75,14.14366508
1574,15.74,17.6389579
1573,15.73,15.80833969
1572,15.72,12.31313743
1571,15.71,12.27193741
1570,15.7,10.70052586
1569,15.69,13.42385086
1568,15.68,12.83355002
1567,15.67,12.93383801
1566,15.66,14.08209867
1565,15.65,12.85601918
1564,15.64,12.29732677
1563,15.63,9.604165748
1562,15.62,9.299281788
1561,15.61,8.736964259
1560,15.6,7.51826219
1559,15.59,6.242210429
1558,15.58,6.666848574
1557,15.57,8.809592471
1556,15.56,10.81587873
1555,15.55,13.09630209
1554,15.54,14.57787168
1553,15.53,15.84076691
1552,15.52,15.67617782
1551,15.51,15.90413169
1550,15.5,14.85565711
1549,15.49,12.85854253
1548,15.48,9.559515081
1547,15.47,9.446549923
1546,15.46,9.53012185
1545,15.45,7.135444794
1544,15.44,5.968057571
1543,15.43,7.16402762
1542,15.42,11.36953888
1541,15.41,13.49798977
1540,15.4,14.97495111
1539,15.39,15.38213748
