NAME,CODE,HEIGHT,CANOPY,OVERHANG
channel,-1,0.0,0.1211136070562718,0.0210847118026078
non-tree,-2,0.762,0.633114047852595,1.0891367293004235
5-10ft,2,2.286,0.633114047852595,1.0891367293004235
10-15 ft,3,3.81,0.633114047852595,1.0891367293004235
15-20 ft,4,5.334,0.633114047852595,1.0891367293004235
20-25 ft,5,6.858,0.633114047852595,1.0891367293004235
25-30 ft,6,8.382,0.633114047852595,1.0891367293004235
30-40 ft,7,10.668,0.633114047852595,1.0891367293004235
40-50 ft,8,13.716,0.633114047852595,1.0891367293004235
50-60 ft,9,16.764,0.633114047852595,1.0891367293004235
60-80 ft,10,21.336,0.633114047852595,1.0891367293004235
80 - 100ft,11,27.432,0.633114047852595,1.0891367293004235
100+,0,33.0,0.633114047852595,1.0891367293004235
110+,1,36.0,0.633114047852595,1.0891367293004235
