NAME,CODE,HEIGHT,CANOPY,OVERHANG
0-5 ft,0,0.762,0.3591764779497505,0.4106771806393167
5-10ft,2,2.286,0.761742829298443,0.2806699669346275
10-15 ft,3,3.81,0.761742829298443,0.2806699669346275
15-20 ft,4,5.334,0.761742829298443,0.2806699669346275
20-25 ft,5,6.858,0.761742829298443,0.2806699669346275
25-30 ft,6,8.382,0.761742829298443,0.2806699669346275
30-40 ft,7,10.668,0.761742829298443,0.2806699669346275
40-50 ft,8,13.716,0.761742829298443,0.2806699669346275
50-60 ft,9,16.764,0.761742829298443,0.2806699669346275
60-80 ft,10,21.336,0.761742829298443,0.2806699669346275
80 - 100ft,11,27.432,0.761742829298443,0.2806699669346275
