STREAM_ID,NODE_ID,STREAM_KM,INFLOW,TEMPERATURE,OUTFLOW
,,18.5,0,11.76746726,
,,18.4,0.00083603,11.76746726,
,,18.3,0.000186073,11.76746726,
,,18.2,6.18E-05,11.76746726,
,,18.1,0.000237476,11.76746726,
,,18,0.00028514,11.76746726,
,,17.9,0.002473824,11.76746726,
,,17.8,0,11.76746726,
,,17.7,0.000348538,11.76746726,
,,17.6,0.000552225,11.76746726,
,,17.5,0.000653811,11.76746726,
,,17.4,0.000253142,11.76746726,
,,17.3,0,11.76746726,
,,17.2,0.000134272,11.76746726,
,,17.1,0.000616918,11.76746726,
,,17,0.000199048,11.76746726,
,,16.9,0.000148882,11.76746726,
,,16.8,0.001188012,11.76746726,
,,16.7,0.000139469,11.76746726,
,,16.6,-0.424407798,11.76746726,
,,16.5,0.4300283,11.76746726,
,,16.4,0.001552544,11.76746726,
,,16.3,-0.000367782,11.76746726,
,,16.2,0.000482466,11.76746726,
,,16.1,0.000157013,11.76746726,
,,16,7.03E-05,11.76746726,
,,15.9,0,11.76746726,
,,15.8,9.42E-05,11.76746726,
,,15.7,0.003062322,11.76746726,
,,15.6,0.00031635,11.76746726,
,,15.5,0.00037899,11.76746726,
,,15.4,0.000273013,11.76746726,
,,15.3,0.000773692,11.76746726,
,,15.2,0.001209822,11.76746726,
,,15.1,0.000517444,11.76746726,
,,15,0.000631455,11.76746726,
,,14.9,0.000588866,11.76746726,
,,14.8,0.000303071,11.76746726,
,,14.7,0.000112126,11.76746726,
,,14.6,0.000112126,11.76746726,
,,14.5,0,11.76746726,
,,14.4,9.32E-05,11.76746726,
,,14.3,0.000590062,11.76746726,
,,14.2,0.000334217,11.76746726,
,,14.1,0.000277074,11.76746726,
,,14,0.000519244,11.76746726,
,,13.9,0.000366933,11.76746726,
,,13.8,0.000366933,11.76746726,
,,13.7,0,11.76746726,
,,13.6,0.000136643,11.76746726,
,,13.5,0.004438301,11.76746726,
,,13.4,0.000240419,11.76746726,
,,13.3,0.001596649,11.76746726,
,,13.2,0.001637272,11.76746726,
,,13.1,0.000440661,11.76746726,
,,13,0.00010492,11.76746726,
,,12.9,0.000120417,11.76746726,
,,12.8,0.000108414,11.76746726,
,,12.7,0.004027395,11.76746726,
,,12.6,0.000141298,11.76746726,
,,12.5,5.24E-05,11.76746726,
,,12.4,0.000547361,11.76746726,
,,12.3,0.000211234,11.76746726,
,,12.2,0.000250683,11.76746726,
,,12.1,0.000143689,11.76746726,
,,12,0.000141838,11.76746726,
,,11.9,0.000961579,11.76746726,
,,11.8,0,11.76746726,
,,11.7,0.000362981,11.76746726,
,,11.6,0.000619573,11.76746726,
,,11.5,0.000408019,11.76746726,
,,11.4,0.00036635,11.76746726,
,,11.3,0.000215294,11.76746726,
,,11.2,0.001091958,11.76746726,
,,11.1,3.18E-05,11.76746726,
,,11,0.000718601,11.76746726,
,,10.9,0.000137534,11.76746726,
,,10.8,0.00981848,11.76746726,
,,10.7,6.34E-05,11.76746726,
,,10.6,0,11.76746726,
,,10.5,0.000707192,11.76746726,
,,10.4,0.001043022,11.76746726,
,,10.3,0.000157606,11.76746726,
,,10.2,0.000379154,11.76746726,
,,10.1,0,11.76746726,
,,10,0.001442389,11.76746726,
,,9.9,0.00045779,11.76746726,
,,9.8,0.000430231,11.76746726,
,,9.7,0.000150345,11.76746726,
,,9.6,0.000232141,11.76746726,
,,9.5,0.000244122,11.76746726,
,,9.4,0.006030027,11.76746726,
,,9.3,8.33E-05,11.76746726,
,,9.2,5.34E-05,11.76746726,
,,9.1,1.81E-05,11.76746726,
,,9,0.000614144,11.76746726,
,,8.9,3.43E-05,11.76746726,
,,8.8,-0.657998849,11.76746726,
,,8.7,0.660877071,11.76746726,
,,8.6,9.16E-05,11.76746726,
,,8.5,0.000152001,11.76746726,
,,8.4,0.000123785,11.76746726,
,,8.3,0,11.76746726,
,,8.2,0.000198357,11.76746726,
,,8.1,0.000448203,11.76746726,
,,8,0.000344115,11.76746726,
,,7.9,0.00030492,11.76746726,
,,7.8,0,11.76746726,
,,7.7,0.000146477,11.76746726,
,,7.6,0.001508459,11.76746726,
,,7.5,0.001544433,11.76746726,
,,7.4,7.35E-05,11.76746726,
,,7.3,0.009030065,11.76746726,
,,7.2,6.96E-05,11.76746726,
,,7.1,0.000889898,11.76746726,
,,7,0.001410633,11.76746726,
,,6.9,0.000891526,11.76746726,
,,6.8,0.000125152,11.76746726,
,,6.7,0.001002422,11.76746726,
,,6.6,0.000359567,11.76746726,
,,6.5,0.000185846,11.76746726,
,,6.4,9.38E-05,11.76746726,
,,6.3,0.006027843,11.76746726,
,,6.2,0.000405899,11.76746726,
,,6.1,0.00025745,11.76746726,
,,6,0.000239757,11.76746726,
,,5.9,0.000345699,11.76746726,
,,5.8,0.00234091,11.76746726,
,,5.7,0.000243984,11.76746726,
,,5.6,0.00085441,11.76746726,
,,5.5,0.000226744,11.76746726,
,,5.4,0.000184443,11.76746726,
,,5.3,0.000154773,11.76746726,
,,5.2,8.22E-05,11.76746726,
,,5.1,0.004999385,11.76746726,
,,5,0.000140446,11.76746726,
,,4.9,0.000148678,11.76746726,
,,4.8,0.000786888,11.76746726,
,,4.7,0.002904914,11.76746726,
,,4.6,0.000217079,11.76746726,
,,4.5,0.000475274,11.76746726,
,,4.4,0.000440686,11.76746726,
,,4.3,0.000170665,11.76746726,
,,4.2,0.000311426,11.76746726,
,,4.1,0.001174515,11.76746726,
,,4,7.35E-05,11.76746726,
,,3.9,0.000403986,11.76746726,
,,3.8,0.001729439,11.76746726,
,,3.7,0.000272592,11.76746726,
,,3.6,0.0002952,11.76746726,
,,3.5,0.000476441,11.76746726,
,,3.4,7.60E-05,11.76746726,
,,3.3,0.000179333,11.76746726,
,,3.2,0.00024083,11.76746726,
,,3.1,0.000228039,11.76746726,
,,3,4.51E-05,11.76746726,
,,2.9,0.001770214,11.76746726,
,,2.8,7.55E-05,11.76746726,
,,2.7,0.000465027,11.76746726,
,,2.6,0,11.76746726,
,,2.5,8.73E-05,11.76746726,
,,2.4,0.000120571,11.76746726,
,,2.3,0.021938715,11.76746726,
,,2.2,0.000224419,11.76746726,
,,2.1,0.001889162,11.76746726,
,,2,0.00047333,11.76746726,
,,1.9,0.00021303,11.76746726,
,,1.8,0.001115252,11.76746726,
,,1.7,0.000102473,11.76746726,
,,1.6,0.000667146,11.76746726,
,,1.5,0.000190518,11.76746726,
,,1.4,0,11.76746726,
,,1.3,0.000839255,11.76746726,
,,1.2,0.000209441,11.76746726,
,,1.1,0.001341921,11.76746726,
,,1,0.000104901,11.76746726,
,,0.9,6.13E-05,11.76746726,
,,0.8,0.00024628,11.76746726,
,,0.7,2.40E-05,11.76746726,
,,0.6,2.01E-05,11.76746726,
,,0.5,0.000121566,11.76746726,
,,0.4,3.92E-05,11.76746726,
,,0.3,0.000728072,11.76746726,
,,0.2,0.001956002,11.76746726,
,,0.1,0.000133075,11.76746726,
,,0,0.00010196,11.76746726,
