STREAM_KM,Azm,GRADIENT
9.9,92.06736942,0.001157567
9.8,92.16414404,0.001157567
9.7,88.21996899,0.0018713
9.6,125.8871585,0.00101895
9.5,174.3769938,0.00101895
9.4,185.7832448,0.0019879
9.3,212.0869961,0.002085
9.2,233.5218151,0.0015704
9.1,229.8714513,0.0023389
9,201.3386741,0.0007478
8.9,163.0060245,0.0007821
8.8,170.0644521,0.0076803
8.7,177.8087246,0.0030216
8.6,163.7380629,0.0031501
8.5,125.6526237,0.0005082
8.4,115.5766675,5.62333E-05
8.3,164.7010812,5.62333E-05
8.2,144.1664191,5.62333E-05
8.1,122.6130177,0.0007523
8,165.2149767,0.0024925
7.9,178.2256224,0.0005133
7.8,174.0987273,0.0017609
7.7,213.2242101,0.0006587
7.6,205.7921101,4.5E-05
7.5,188.1746243,0.000482133
7.4,177.3948789,0.000482133
7.3,154.0191803,0.000482133
7.2,158.1594973,0.000665
7.1,159.5127336,0.0066217
7,140.176288,0.0026318
6.9,128.3387852,0.0004437
6.8,124.0437308,0.000159
6.7,117.6704655,0.0000148
6.6,77.02743824,0.0000148
6.5,59.51256424,0.00001746
6.4,119.3066683,0.00001746
6.3,150.4295552,0.00001746
6.2,148.1903564,0.00001746
6.1,136.0899582,0.00001746
6,85.30970401,0.00019615
5.9,34.48968559,0.00019615
5.8,94.56357368,0.00019615
5.7,162.6324313,0.00019615
5.6,172.764478,0.0015146
5.5,106.6478376,0.0015146
5.4,52.59281387,0.0015146
5.3,75.80198441,0.0015587
5.2,134.3252642,0.0030255
5.1,179.4918068,0.00471
5,208.5495095,0.001823
