NAME,CODE,HEIGHT,CANOPY,OVERHANG
channel,-1,0.0,0.0,0.0
non-tree,-2,0.762,0.1102396558114223,0.5268707478208996
5-10ft,2,2.286,0.7145443761814292,0.649635492937579
10-15 ft,3,3.81,0.7145443761814292,0.649635492937579
15-20 ft,4,5.334,0.7145443761814292,0.649635492937579
20-25 ft,5,6.858,0.7145443761814292,0.649635492937579
25-30 ft,6,8.382,0.7145443761814292,0.649635492937579
30-40 ft,7,10.668,0.7145443761814292,0.649635492937579
40-50 ft,8,13.716,0.7145443761814292,0.649635492937579
50-60 ft,9,16.764,0.7145443761814292,0.649635492937579
60-80 ft,10,21.336,0.7145443761814292,0.649635492937579
80 - 100ft,11,27.432,0.7145443761814292,0.649635492937579
100+,0,33.0,0.7145443761814292,0.649635492937579
110+,1,36.0,0.7145443761814292,0.649635492937579
