SmallerShapefile,1,2,3,TotalArea
autocatchment4326_Sb_crumedown.shp,0.6435272526563398,1.4469080026195567,6.352630732801196,8.443065988077093
autocatchment4326_Sb_thdown.shp,2.2061002483244367,3.518983285198293,25.63080335596266,31.35588688948539
autocatchment4326_Wfsc_up.shp,9.014011204666344,19.199613643493283,81.89485186879976,110.10847671695939
autocatchment4326_Wf_eblmrd.shp,6.233250594016968,12.296059059678111,61.193133767155345,79.72244342085042
autocatchment4326_Wf_hayesup2.shp,3.6629962367104176,6.379600494676647,42.47831128442696,52.52090801581402
autocatchment4326_Wf_hwy82tribup.shp,0.5139629962679501,1.3973217259336161,3.6190894814196333,5.5303742036212
autocatchment4326_Wf_lukensdown.shp,16.696862804943983,33.896154519537156,128.1532245288236,178.74624185330475
autocatchment4326_Wf_pietsch.shp,13.075245266824538,25.94987433298187,114.88038223845474,153.90550183826116
autocatchment4326_WF_rrun.shp,1.6584718958672515,3.0794695018006317,24.92826550974159,29.666206907409475
autocatchment4326_Wf_smarthallowup.shp,8.261856861286144,17.35992324502483,76.72809140272891,102.34987150903989
autocatchment4326_Wf_starks2.shp,5.840122013241488,11.07360690120203,58.050346519345666,74.96407543378919
autocatchment4326_Wf_thnorth_trib.shp,0.16165145376793427,0.5318133018503667,3.0654481440709644,3.7589128996892653
autocatchment4326_Wf_yoderdown.shp,7.012120761452632,14.341227692932787,67.21546057655767,88.5688090309431
