STREAM_ID,NODE_ID,STREAM_KM,ELEVATION,GRADIENT,BOTTOM_WIDTH,CHANNEL_ANGLE_Z,MANNINGS_n,SED_THERMAL_CONDUCTIVITY,SED_THERMAL_DIFFUSIVITY,SED_HYPORHEIC_THICKNESSS,HYPORHEIC_PERCENT,POROSITY
,185,18.5,290.3056,0.0083117,4.622692402,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,184,18.4,289.47443,0.0083117,8.533760609,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,183,18.3,289.16687,0.0030756,5.389598543,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,182,18.2,288.235,0.0093187,8.310317444,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,181,18.1,287.3527,0.008823,14.65305686,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,180,18.0,286.4868,0.008659,4.372751137,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,179,17.9,286.30914,0.0017766,7.083336333,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,178,17.8,286.3121,0.00024595,8.718198971,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,177,17.7,286.25995,0.00024595,9.071462879,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,176,17.6,286.1692,0.0009075,5.0321873,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,175,17.5,286.0464,0.001228,8.449964817,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,174,17.4,285.96945,0.0007695,5.929937958,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,173,17.3,285.91278,0.0005667,3.489613109,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,172,17.2,285.8081,0.0010468,6.313660924,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,171,17.1,285.71213,0.0009597,8.288192233,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,170,17.0,285.6381,0.0007403,7.815002025,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,169,16.9,285.56088,0.0007722,10.17731632,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,168,16.8,285.4729,0.0008798,9.432117926,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,167,16.7,285.30664,0.0016626,4.79286773,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,166,16.6,285.21246,0.0009418,7.150098516,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,165,16.5,284.6436,0.0056886,11.7778819,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,164,16.4,283.90378,0.0073982,7.772499177,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,163,16.3,283.44034,0.0046344,5.502179949,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,162,16.2,282.7442,0.0069614,8.959052177,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,161,16.1,282.06265,0.0068155,8.836548496,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,160,16.0,281.36386,0.0069879,15.36211315,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,159,15.9,280.26324,0.0110062,9.23923197,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,158,15.8,279.95898,0.0030426,6.523584603,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,157,15.7,279.68906,0.0026992,10.70052586,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,156,15.6,279.5346,0.0015446,7.518262193,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,155,15.5,279.392,0.001426,14.85565711,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,154,15.4,279.0755,0.003165,14.97495111,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,153,15.3,278.94443,0.0013107,19.68397505,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,152,15.2,278.724,0.0022043,14.57624632,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,151,15.1,278.39908,0.0032492,16.58970978,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,150,15.0,278.15176,0.0024732,11.90372491,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,149,14.9,277.81747,0.0033429,11.71617167,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,148,14.8,277.60858,0.0020889,13.03583371,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,147,14.7,277.3822,0.0022638,8.437365089,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,146,14.6,277.47693,0.0037181,12.74136942,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,145,14.5,276.63858,0.0037181,13.64047508,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,144,14.4,276.14563,0.0049295,9.549882447,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,143,14.3,275.3992,0.0074643,10.57596997,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,142,14.2,274.72235,0.0067685,11.63200131,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,141,14.1,274.13904,0.0058331,21.62387,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,140,14.0,274.13055,8.49e-05,20.3098155,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,139,13.9,274.10806,0.0002249,10.10703162,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,138,13.8,273.9898,0.0011826,10.82174121,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,137,13.7,273.96924,0.0002056,6.631798273,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,136,13.6,273.47083,0.0049841,6.822449525,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,135,13.5,273.13718,0.0033365,7.2758047,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,134,13.4,273.14948,0.0010628,9.644345937,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,133,13.3,272.92462,0.0010628,10.72692512,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,132,13.2,272.63937,0.0028525,10.14070198,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,131,13.1,272.28397,0.003554,4.77995772,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,130,13.0,272.284,0.00111435,18.89932161,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,129,12.9,272.0611,0.00111435,15.62879517,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,128,12.8,272.4514,0.004490256,14.6854941,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,127,12.7,272.4649,0.004490256,16.43282472,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,126,12.6,272.5194,0.004490256,10.26373558,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
