DATETIME,CLOUDINESS1,WIND_SPEED1,RELATIVE_HUMIDITY1,AIR_TEMPERATURE1
7/1/2023 0:00,0,0,0.949,19.127
7/1/2023 1:00,0,0,0.955,19.008
7/1/2023 2:00,0,0,0.959,18.866
7/1/2023 3:00,0,0,0.965,18.247
7/1/2023 4:00,0,0.25,0.972,18.105
7/1/2023 5:00,0,0,0.972,17.796
7/1/2023 6:00,0.714519536,0,0.974,17.938
7/1/2023 7:00,0.799215086,0,0.962,19.056
7/1/2023 8:00,0.74193777,0,0.906,20.889
7/1/2023 9:00,0.684293917,0,0.841,23.088
7/1/2023 10:00,0.572143264,0.25,0.746,25.065
7/1/2023 11:00,0.412047672,0.5,0.667,26.744
7/1/2023 12:00,0.401685775,0.25,0.652,26.842
7/1/2023 13:00,0.41648363,0.25,0.593,28.444
7/1/2023 14:00,0.52169923,0.5,0.569,27.505
7/1/2023 15:00,0.427876317,0,0.553,29.464
7/1/2023 16:00,0.558852169,0.5,0.522,28.916
7/1/2023 17:00,0.66319161,0,0.503,28.791
7/1/2023 18:00,0.785720765,0,0.6,26.965
7/1/2023 19:00,0.723699536,0,0.683,25.695
7/1/2023 20:00,0.771512994,0,0.775,23.256
7/1/2023 21:00,0,0,0.858,20.603
7/1/2023 22:00,0,0,0.93,18.985
7/1/2023 23:00,0,0,0.938,18.343
7/2/2023 0:00,0,0,0.949,17.534
7/2/2023 1:00,0,0,0.935,17.938
7/2/2023 2:00,0,0,0.947,17.177
7/2/2023 3:00,0,0.25,0.958,16.511
7/2/2023 4:00,0,0.25,0.966,15.915
7/2/2023 5:00,0,0.5,0.969,15.151
7/2/2023 6:00,0.588795952,0.5,0.971,15.127
7/2/2023 7:00,0.687260535,0,0.953,16.915
7/2/2023 8:00,0.681666698,0.5,0.909,19.318
7/2/2023 9:00,0.39883772,1.01,0.795,22.537
7/2/2023 10:00,0.227073812,0.76,0.714,25.04
7/2/2023 11:00,0.315525882,1.51,0.691,25.283
7/2/2023 12:00,0.091837015,1.51,0.547,28.568
7/2/2023 13:00,0,0.76,0.526,30.9
7/2/2023 14:00,0,2.01,0.466,29.389
7/2/2023 15:00,0,1.76,0.454,30.041
7/2/2023 16:00,0.046715319,2.01,0.424,30.142
7/2/2023 17:00,0.21067644,1.76,0.419,30.293
7/2/2023 18:00,0.418708979,2.01,0.424,29.49
7/2/2023 19:00,0.485387397,1.26,0.466,28.642
7/2/2023 20:00,0.481699047,0,0.567,25.793
7/2/2023 21:00,0,0,0.845,19.246
7/2/2023 22:00,0,0,0.925,16.963
7/2/2023 23:00,0,0,0.942,15.915
7/3/2023 0:00,0,0,0.958,15.031
7/3/2023 1:00,0,0,0.964,14.29
7/3/2023 2:00,0,0,0.968,13.497
7/3/2023 3:00,0,0,0.974,13.016
7/3/2023 4:00,0,0,0.975,12.389
7/3/2023 5:00,0,0,0.978,11.88
7/3/2023 6:00,0.738388512,0,0.98,11.637
7/3/2023 7:00,0.611810773,0,0.976,14.122
7/3/2023 8:00,0.477756867,0,0.918,17.653
