NAME,CODE,HEIGHT,CANOPY,OVERHANG
forest buffer value,-6,15,0.714544376,0.649635493
grass buffer value ,-5,0.762,0.110239656,0.526870748
channel,-1,0,0,0
non-tree,-2,0.762,0.110239656,0.526870748
5-10ft,2,2.286,0.714544376,0.649635493
10-15 ft,3,3.81,0.714544376,0.649635493
15-20 ft,4,5.334,0.714544376,0.649635493
20-25 ft,5,6.858,0.714544376,0.649635493
25-30 ft,6,8.382,0.714544376,0.649635493
30-40 ft,7,10.668,0.714544376,0.649635493
40-50 ft,8,13.716,0.714544376,0.649635493
50-60 ft,9,16.764,0.714544376,0.649635493
60-80 ft,10,21.336,0.714544376,0.649635493
80 - 100ft,11,27.432,0.714544376,0.649635493
100+,0,33,0.714544376,0.649635493
110+,1,36,0.714544376,0.649635493
