NAME,CODE,HEIGHT,CANOPY,OVERHANG
forest buffer,-6,11,0.714544376,0.649635493
grass buffer,-5,0.762,0.110239656,0.526870748
channel,-1,0,0,0
non-tree,-2,0.762,0.136832719,0.486296188
5-10ft,2,2.286,0.790459741,0.9411872
10-15 ft,3,3.81,0.790459741,0.9411872
15-20 ft,4,5.334,0.790459741,0.9411872
20-25 ft,5,6.858,0.790459741,0.9411872
25-30 ft,6,8.382,0.790459741,0.9411872
30-40 ft,7,10.668,0.790459741,0.9411872
40-50 ft,8,13.716,0.790459741,0.9411872
50-60 ft,9,16.764,0.790459741,0.9411872
60-80 ft,10,21.336,0.790459741,0.9411872
80 - 100ft,11,27.432,0.790459741,0.9411872
100+,0,33,0.790459741,0.9411872
110+,1,36,0.790459741,0.9411872
