Stream km,Longitude,Latitude
1.4,-90.75539896,43.55718549
2.4,-90.76262125,43.56152564
2.7,-90.76157095,43.56344323
7.8,-90.77771667,43.5912094
8.3,-90.78164014,43.59451014
10.2,-90.77682342,43.608013
10.6,-90.77980645,43.61052102
11.8,-90.78038856,43.61894785
13.8,-90.77095217,43.62993045
14.6,-90.76837752,43.63630126
15.9,-90.7811555,43.64243384
17.2,-90.77777302,43.65232903
17.8,-90.78286356,43.65586181
