DATETIME,CLOUDINESS1,WIND_SPEED1,RELATIVE_HUMIDITY1,AIR_TEMPERATURE1
6/11/2023 0:00,0,0.76,0.803,16.939
6/11/2023 1:00,0,0,0.85,16.558
6/11/2023 2:00,0,0,0.848,17.106
6/11/2023 3:00,0,2.77,0.821,14.984
6/11/2023 4:00,0,1.26,0.885,12.751
6/11/2023 5:00,0,1.26,0.882,12.389
6/11/2023 6:00,0.940387395,1.76,0.879,11.2
6/11/2023 7:00,0.97203683,0.76,0.914,10.271
6/11/2023 8:00,0.846893661,1.26,0.886,11.102
6/11/2023 9:00,0.817638424,1.01,0.848,11.565
6/11/2023 10:00,0.781335076,1.76,0.86,11.662
6/11/2023 11:00,0.491986509,1.26,0.777,13.714
6/11/2023 12:00,0.687231286,1.76,0.77,13.594
6/11/2023 13:00,0.66485687,1.26,0.724,13.522
6/11/2023 14:00,0.498471141,1.76,0.729,13.642
6/11/2023 15:00,0.724159216,1.76,0.682,13.93
6/11/2023 16:00,0.618848665,2.01,0.64,14.266
6/11/2023 17:00,0.567201881,2.01,0.596,15.39
6/11/2023 18:00,0.397357452,1.76,0.561,16.01
6/11/2023 19:00,0.523236128,1.76,0.586,15.891
6/11/2023 20:00,0.47213852,0,0.699,13.786
6/11/2023 21:00,0,0,0.909,8.916
6/11/2023 22:00,0,0,0.946,7.167
6/11/2023 23:00,0,0,0.96,6
6/12/2023 0:00,0,0,0.966,4.402
6/12/2023 1:00,0,0,0.97,4.011
6/12/2023 2:00,0,0,0.973,4.584
6/12/2023 3:00,0,0,0.976,3.932
6/12/2023 4:00,0,0,0.977,3.009
6/12/2023 5:00,0,0,0.98,1.832
6/12/2023 6:00,0.779584332,0,0.981,1.289
6/12/2023 7:00,0.547549841,0,0.977,4.402
6/12/2023 8:00,0.669745733,0,0.971,7.142
6/12/2023 9:00,0.254397591,0,0.884,10.418
6/12/2023 10:00,0.161000901,0.25,0.518,18.081
6/12/2023 11:00,0.072854556,1.76,0.425,19.27
6/12/2023 12:00,0,1.76,0.424,20.603
6/12/2023 13:00,0.17093874,2.52,0.419,21.676
6/12/2023 14:00,0.880942147,1.51,0.432,20.031
6/12/2023 15:00,0.552045958,1.51,0.524,20.126
6/12/2023 16:00,0.721246551,2.01,0.417,20.579
6/12/2023 17:00,0.640850311,0.76,0.488,18.414
6/12/2023 18:00,0.619976439,1.51,0.516,17.296
6/12/2023 19:00,0.920098677,0.76,0.575,15.986
6/12/2023 20:00,0.955690158,0,0.867,12.582
6/12/2023 21:00,0,0,0.92,11.783
6/12/2023 22:00,0,0,0.939,11.419
6/12/2023 23:00,0,0,0.95,11.151
6/13/2023 0:00,0,0,0.953,9.977
6/13/2023 1:00,0,0,0.963,9.879
6/13/2023 2:00,0,0,0.966,10.124
6/13/2023 3:00,0,0,0.967,10.32
6/13/2023 4:00,0,0,0.969,10.492
6/13/2023 5:00,0,0,0.972,10.492
6/13/2023 6:00,0.897701268,0,0.97,10.956
6/13/2023 7:00,0.915826679,0,0.964,11.832
6/13/2023 8:00,0.827701687,0,0.943,13.064
6/13/2023 9:00,0.665490815,0.5,0.888,14.984
6/13/2023 10:00,0.670585253,0.76,0.81,16.344
6/13/2023 11:00,0.357292922,1.26,0.715,19.008
6/13/2023 12:00,0,2.01,0.575,21.27
6/13/2023 13:00,0.32580113,2.27,0.535,22.513
6/13/2023 14:00,0.384252877,2.52,0.489,23.304
6/13/2023 15:00,0.401891872,2.27,0.47,23.954
6/13/2023 16:00,0.485978101,2.01,0.442,24.098
6/13/2023 17:00,0.657274722,1.01,0.494,23.761
6/13/2023 18:00,0.832969233,0.25,0.632,22.25
6/13/2023 19:00,0.930430739,0,0.75,19.603
6/13/2023 20:00,0.924954624,0,0.858,17.653
6/13/2023 21:00,0,0,0.851,17.296
6/13/2023 22:00,0,0,0.915,15.485
6/13/2023 23:00,0,0,0.931,13.882
6/14/2023 0:00,0,0,0.947,13.016
6/14/2023 1:00,0,0,0.954,12.63
6/14/2023 2:00,0,0,0.961,12.389
6/14/2023 3:00,0,0,0.969,11.516
6/14/2023 4:00,0,0,0.971,11.078
6/14/2023 5:00,0,0,0.975,10.222
6/14/2023 6:00,0.725697315,0,0.978,9.41
6/14/2023 7:00,0.645929706,0,0.974,11.637
6/14/2023 8:00,0.516935031,0,0.888,15.294
6/14/2023 9:00,0.49012557,0,0.715,21.008
6/14/2023 10:00,0.25092634,0,0.536,24.895
6/14/2023 11:00,0.148977428,0.25,0.443,26.842
6/14/2023 12:00,0.04487768,0.76,0.451,27.653
6/14/2023 13:00,0.008254385,0.76,0.386,27.776
6/14/2023 14:00,0.737865866,0.76,0.388,29.115
6/14/2023 15:00,0.307611943,0.25,0.395,29.49
6/14/2023 16:00,0.606581047,0.76,0.368,28.866
6/14/2023 17:00,0.395650237,1.01,0.377,29.09
6/14/2023 18:00,0.5795047,0,0.445,28.593
